"Statistic Label","CensusYear","Sex","Means of Travel","At Work, School or College","UNIT","VALUE"
"Journey time 30 mins - < 45 mins","2022","Female","Not stated","Students at school or college aged between 13 and 18 years","Number","139"
"Journey time 30 mins - < 45 mins","2022","Female","Not stated","Students at school or college aged 19 years and over","Number","85"
"Journey time 30 mins - < 45 mins","2022","Female","All means of travel","All persons","Number","256678"
"Journey time 30 mins - < 45 mins","2022","Female","All means of travel","Population aged 15 years and over at work","Number","193186"
"Journey time 30 mins - < 45 mins","2022","Female","All means of travel","Children at school aged between 5 and 12 years","Number","13555"
"Journey time 30 mins - < 45 mins","2022","Female","All means of travel","Students at school or college aged between 13 and 18 years","Number","28806"
"Journey time 30 mins - < 45 mins","2022","Female","All means of travel","Students at school or college aged 19 years and over","Number","21131"
"Journey time 45 mins - < 60 mins","2022","Both sexes","On foot","All persons","Number","7036"
"Journey time 45 mins - < 60 mins","2022","Both sexes","On foot","Population aged 15 years and over at work","Number","5238"
"Journey time 45 mins - < 60 mins","2022","Both sexes","On foot","Children at school aged between 5 and 12 years","Number","325"
"Journey time 45 mins - < 60 mins","2022","Both sexes","On foot","Students at school or college aged between 13 and 18 years","Number","616"
"Journey time 45 mins - < 60 mins","2022","Both sexes","On foot","Students at school or college aged 19 years and over","Number","857"
"Journey time 45 mins - < 60 mins","2022","Both sexes","Bicycle","All persons","Number","3329"
"Journey time 45 mins - < 60 mins","2022","Both sexes","Bicycle","Population aged 15 years and over at work","Number","2991"
"Journey time 45 mins - < 60 mins","2022","Both sexes","Bicycle","Children at school aged between 5 and 12 years","Number","41"
"Journey time 45 mins - < 60 mins","2022","Both sexes","Bicycle","Students at school or college aged between 13 and 18 years","Number","65"
"Journey time 45 mins - < 60 mins","2022","Both sexes","Bicycle","Students at school or college aged 19 years and over","Number","232"
"Journey time 45 mins - < 60 mins","2022","Both sexes","Bus, minibus or coach","All persons","Number","34751"
"Journey time 45 mins - < 60 mins","2022","Both sexes","Bus, minibus or coach","Population aged 15 years and over at work","Number","18212"
"Journey time 45 mins - < 60 mins","2022","Both sexes","Bus, minibus or coach","Children at school aged between 5 and 12 years","Number","1684"
"Journey time 45 mins - < 60 mins","2022","Both sexes","Bus, minibus or coach","Students at school or college aged between 13 and 18 years","Number","7652"
"Journey time 45 mins - < 60 mins","2022","Both sexes","Bus, minibus or coach","Students at school or college aged 19 years and over","Number","7203"
"Journey time 45 mins - < 60 mins","2022","Both sexes","Train, DART or LUAS","All persons","Number","15235"
"Journey time 45 mins - < 60 mins","2022","Both sexes","Train, DART or LUAS","Population aged 15 years and over at work","Number","11961"
"Journey time 45 mins - < 60 mins","2022","Both sexes","Train, DART or LUAS","Children at school aged between 5 and 12 years","Number","71"
"Journey time 45 mins - < 60 mins","2022","Both sexes","Train, DART or LUAS","Students at school or college aged between 13 and 18 years","Number","986"
"Journey time 45 mins - < 60 mins","2022","Both sexes","Train, DART or LUAS","Students at school or college aged 19 years and over","Number","2217"
"Journey time 45 mins - < 60 mins","2022","Both sexes","Motorcycle or scooter","All persons","Number","538"
"Journey time 45 mins - < 60 mins","2022","Both sexes","Motorcycle or scooter","Population aged 15 years and over at work","Number","511"
"Journey time 45 mins - < 60 mins","2022","Both sexes","Motorcycle or scooter","Children at school aged between 5 and 12 years","Number","0"
"Journey time 45 mins - < 60 mins","2022","Both sexes","Motorcycle or scooter","Students at school or college aged between 13 and 18 years","Number","2"
"Journey time 45 mins - < 60 mins","2022","Both sexes","Motorcycle or scooter","Students at school or college aged 19 years and over","Number","25"
"Journey time 45 mins - < 60 mins","2022","Both sexes","Motor car: Driver","All persons","Number","105102"
"Journey time 45 mins - < 60 mins","2022","Both sexes","Motor car: Driver","Population aged 15 years and over at work","Number","99892"
"Journey time 45 mins - < 60 mins","2022","Both sexes","Motor car: Driver","Children at school aged between 5 and 12 years","Number","0"
"Journey time 45 mins - < 60 mins","2022","Both sexes","Motor car: Driver","Students at school or college aged between 13 and 18 years","Number","221"
"Journey time 45 mins - < 60 mins","2022","Both sexes","Motor car: Driver","Students at school or college aged 19 years and over","Number","4989"
"Journey time 45 mins - < 60 mins","2022","Both sexes","Motor car: Passenger","All persons","Number","8646"
"Journey time 45 mins - < 60 mins","2022","Both sexes","Motor car: Passenger","Population aged 15 years and over at work","Number","3576"
"Journey time 45 mins - < 60 mins","2022","Both sexes","Motor car: Passenger","Children at school aged between 5 and 12 years","Number","1896"
"Journey time 45 mins - < 60 mins","2022","Both sexes","Motor car: Passenger","Students at school or college aged between 13 and 18 years","Number","1896"
"Journey time 45 mins - < 60 mins","2022","Both sexes","Motor car: Passenger","Students at school or college aged 19 years and over","Number","1278"
"Journey time 45 mins - < 60 mins","2022","Both sexes","Van","All persons","Number","11135"
"Journey time 45 mins - < 60 mins","2022","Both sexes","Van","Population aged 15 years and over at work","Number","11067"
"Journey time 45 mins - < 60 mins","2022","Both sexes","Van","Children at school aged between 5 and 12 years","Number","10"
"Journey time 45 mins - < 60 mins","2022","Both sexes","Van","Students at school or college aged between 13 and 18 years","Number","15"
"Journey time 45 mins - < 60 mins","2022","Both sexes","Van","Students at school or college aged 19 years and over","Number","43"
"Journey time 45 mins - < 60 mins","2022","Both sexes","Other, incl. lorry","All persons","Number","581"
"Journey time 45 mins - < 60 mins","2022","Both sexes","Other, incl. lorry","Population aged 15 years and over at work","Number","551"
"Journey time 45 mins - < 60 mins","2022","Both sexes","Other, incl. lorry","Children at school aged between 5 and 12 years","Number","7"
"Journey time 45 mins - < 60 mins","2022","Both sexes","Other, incl. lorry","Students at school or college aged between 13 and 18 years","Number","11"
"Journey time 45 mins - < 60 mins","2022","Both sexes","Other, incl. lorry","Students at school or college aged 19 years and over","Number","12"
"Journey time 45 mins - < 60 mins","2022","Both sexes","Not stated","All persons","Number","481"
"Journey time 45 mins - < 60 mins","2022","Both sexes","Not stated","Population aged 15 years and over at work","Number","319"
"Journey time 45 mins - < 60 mins","2022","Both sexes","Not stated","Children at school aged between 5 and 12 years","Number","55"
"Journey time 45 mins - < 60 mins","2022","Both sexes","Not stated","Students at school or college aged between 13 and 18 years","Number","62"
"Journey time 45 mins - < 60 mins","2022","Both sexes","Not stated","Students at school or college aged 19 years and over","Number","45"
"Journey time 45 mins - < 60 mins","2022","Both sexes","All means of travel","All persons","Number","186834"
"Journey time 45 mins - < 60 mins","2022","Both sexes","All means of travel","Population aged 15 years and over at work","Number","154318"
"Journey time 45 mins - < 60 mins","2022","Both sexes","All means of travel","Children at school aged between 5 and 12 years","Number","4089"
"Journey time 45 mins - < 60 mins","2022","Both sexes","All means of travel","Students at school or college aged between 13 and 18 years","Number","11526"
"Journey time 45 mins - < 60 mins","2022","Both sexes","All means of travel","Students at school or college aged 19 years and over","Number","16901"
"Journey time 45 mins - < 60 mins","2022","Male","On foot","All persons","Number","3138"
"Journey time 45 mins - < 60 mins","2022","Male","On foot","Population aged 15 years and over at work","Number","2262"
"Journey time 45 mins - < 60 mins","2022","Male","On foot","Children at school aged between 5 and 12 years","Number","169"
"Journey time 45 mins - < 60 mins","2022","Male","On foot","Students at school or college aged between 13 and 18 years","Number","302"
"Journey time 45 mins - < 60 mins","2022","Male","On foot","Students at school or college aged 19 years and over","Number","405"
"Journey time 45 mins - < 60 mins","2022","Male","Bicycle","All persons","Number","2502"
"Journey time 45 mins - < 60 mins","2022","Male","Bicycle","Population aged 15 years and over at work","Number","2267"
"Journey time 45 mins - < 60 mins","2022","Male","Bicycle","Children at school aged between 5 and 12 years","Number","22"
"Journey time 45 mins - < 60 mins","2022","Male","Bicycle","Students at school or college aged between 13 and 18 years","Number","51"
"Journey time 45 mins - < 60 mins","2022","Male","Bicycle","Students at school or college aged 19 years and over","Number","162"
"Journey time 45 mins - < 60 mins","2022","Male","Bus, minibus or coach","All persons","Number","16563"
"Journey time 45 mins - < 60 mins","2022","Male","Bus, minibus or coach","Population aged 15 years and over at work","Number","8487"
"Journey time 45 mins - < 60 mins","2022","Male","Bus, minibus or coach","Children at school aged between 5 and 12 years","Number","941"
"Journey time 45 mins - < 60 mins","2022","Male","Bus, minibus or coach","Students at school or college aged between 13 and 18 years","Number","3797"
"Journey time 45 mins - < 60 mins","2022","Male","Bus, minibus or coach","Students at school or college aged 19 years and over","Number","3338"
"Journey time 45 mins - < 60 mins","2022","Male","Train, DART or LUAS","All persons","Number","7951"
"Journey time 45 mins - < 60 mins","2022","Male","Train, DART or LUAS","Population aged 15 years and over at work","Number","6258"
