"Statistic Label","CensusYear","Sex","Means of Travel","At Work, School or College","UNIT","VALUE"
"Journey time < 15 mins","2022","Both sexes","Motor car: Passenger","All persons","Number","332938"
"Journey time < 15 mins","2022","Both sexes","Motor car: Passenger","Population aged 15 years and over at work","Number","27995"
"Journey time < 15 mins","2022","Both sexes","Motor car: Passenger","Children at school aged between 5 and 12 years","Number","221497"
"Journey time < 15 mins","2022","Both sexes","Motor car: Passenger","Students at school or college aged between 13 and 18 years","Number","79915"
"Journey time < 15 mins","2022","Both sexes","Motor car: Passenger","Students at school or college aged 19 years and over","Number","3531"
"Journey time < 15 mins","2022","Both sexes","Van","All persons","Number","24544"
"Journey time < 15 mins","2022","Both sexes","Van","Population aged 15 years and over at work","Number","23459"
"Journey time < 15 mins","2022","Both sexes","Van","Children at school aged between 5 and 12 years","Number","737"
"Journey time < 15 mins","2022","Both sexes","Van","Students at school or college aged between 13 and 18 years","Number","295"
"Journey time < 15 mins","2022","Both sexes","Van","Students at school or college aged 19 years and over","Number","53"
"Journey time < 15 mins","2022","Both sexes","Other, incl. lorry","All persons","Number","2996"
"Journey time < 15 mins","2022","Both sexes","Other, incl. lorry","Population aged 15 years and over at work","Number","2640"
"Journey time < 15 mins","2022","Both sexes","Other, incl. lorry","Children at school aged between 5 and 12 years","Number","223"
"Journey time < 15 mins","2022","Both sexes","Other, incl. lorry","Students at school or college aged between 13 and 18 years","Number","97"
"Journey time < 15 mins","2022","Both sexes","Other, incl. lorry","Students at school or college aged 19 years and over","Number","36"
"Journey time < 15 mins","2022","Both sexes","Not stated","All persons","Number","6965"
"Journey time < 15 mins","2022","Both sexes","Not stated","Population aged 15 years and over at work","Number","1329"
"Journey time < 15 mins","2022","Both sexes","Not stated","Children at school aged between 5 and 12 years","Number","4550"
"Journey time < 15 mins","2022","Both sexes","Not stated","Students at school or college aged between 13 and 18 years","Number","958"
"Journey time < 15 mins","2022","Both sexes","Not stated","Students at school or college aged 19 years and over","Number","128"
"Journey time < 15 mins","2022","Both sexes","All means of travel","All persons","Number","936520"
"Journey time < 15 mins","2022","Both sexes","All means of travel","Population aged 15 years and over at work","Number","428285"
"Journey time < 15 mins","2022","Both sexes","All means of travel","Children at school aged between 5 and 12 years","Number","341502"
"Journey time < 15 mins","2022","Both sexes","All means of travel","Students at school or college aged between 13 and 18 years","Number","137139"
"Journey time < 15 mins","2022","Both sexes","All means of travel","Students at school or college aged 19 years and over","Number","29594"
"Journey time < 15 mins","2022","Male","On foot","All persons","Number","107505"
"Journey time < 15 mins","2022","Male","On foot","Population aged 15 years and over at work","Number","36397"
"Journey time < 15 mins","2022","Male","On foot","Children at school aged between 5 and 12 years","Number","45215"
"Journey time < 15 mins","2022","Male","On foot","Students at school or college aged between 13 and 18 years","Number","19427"
"Journey time < 15 mins","2022","Male","On foot","Students at school or college aged 19 years and over","Number","6466"
"Journey time < 15 mins","2022","Male","Bicycle","All persons","Number","22172"
"Journey time < 15 mins","2022","Male","Bicycle","Population aged 15 years and over at work","Number","9412"
"Journey time < 15 mins","2022","Male","Bicycle","Children at school aged between 5 and 12 years","Number","5802"
"Journey time < 15 mins","2022","Male","Bicycle","Students at school or college aged between 13 and 18 years","Number","5621"
"Journey time < 15 mins","2022","Male","Bicycle","Students at school or college aged 19 years and over","Number","1337"
"Journey time < 15 mins","2022","Male","Bus, minibus or coach","All persons","Number","15958"
"Journey time < 15 mins","2022","Male","Bus, minibus or coach","Population aged 15 years and over at work","Number","1919"
"Journey time < 15 mins","2022","Male","Bus, minibus or coach","Children at school aged between 5 and 12 years","Number","8651"
"Journey time < 15 mins","2022","Male","Bus, minibus or coach","Students at school or college aged between 13 and 18 years","Number","4751"
